id,cve,project_name,description,mistakes
912,CVE-2013-6665,chromium,"Heap-based buffer overflow in Chrome's resource provider in Google Chrome that
handles bitmap textures. The vulnerability allows remote attackers to cause a
denial of service or possibly have unspecified other impact via a large bitmap
texture size that triggers improper memory allocation in the software
renderer.

The fix for this vulnerability is to place a hard limit on the number of bytes
that can be allocated in a specific situation, regardless of different kinds
of hardware.
","The vulnerabliity here was a pretty simple oversight in terms of limiting resource constraints. The code would have handled a massive amounts of memory allocation differently on different pieces of hardware, leading to a buffer overflow in some situations. They didn't think of this early on. But, the way they fixed it was to hardcode a reasonable limit into the code.
The use of a magic number without a constant still seems fishy to me, but it's very good that they considered this situation and rectified it.
Interestingly, they did not trust the fuzzer on this initially."
1457,CVE-2017-5093,chromium,"UI spoofing in Blink, a browser engine used in the Google Chrome browser. This
vulnerability makes it possible to display a popup dialog in front of the
Fullscreen permission dialog, making it ""impossible"" to the user to know he/she
entered fullscreen mode, enabling the attacker to subvert the true identity
of the URL.
","In my opinion, there were coding and design mistakes due to overlooking a
potential use of incorrectly validated inputs to manipulate modals and the
fullscreen feature. The fix looks proper as it involved additional tests,
deletion of previous code, additional checks for input validation, and the
exiting of web-page initiated fullscreen when a dialog runs. It is interesting
how even developers at top tech companies overlook validating input and serves
as a prime example to always make sure to validate input, as it may violate
the users' confidentality.
"
1471,CVE-2017-5107,chromium,"User information leak via SVG. By rendering a FeConvolveMatrix SVG filter over
a target iframe and timing its execution an attacking page can extract pixel
values from a cross-origin page being iframe'd.
",
1425,CVE-2017-5060,chromium,"URL spoofing in Omnibox. Certain Cyrillic characters look incredibly similar
to standard Roman Alphabet characters, so much so that certain fonts don't
distinguish between the two. Registering a domain with ""punycode"" escape
sequences causes these characters to display in the browser.
",
957,CVE-2014-1748,chromium,"The scrollbar rectangles for images were not properly being clipped to the the
parent document that they interacted with (owning viewport). This non-limiting 
effect allowed for chiled documents to draw/cover over the respective parent
documents by passing extremely large dimensions to for the scrollbar elements.
An attacker could use this by creating a transparent child document that covered 
the parent. This could allow the attacker to spoof content or cause the 
user to click on malicious links.
","The main mistake that was made here was less of a mistake and more of an 
oversight. The vulnerability was introduced when ScrollView::paint() needed
to be clipped by the visible content (visibleContentRect), but it was never
checked that the scrollbar was also clipped as well, leading to an inconsistency
between the two parts of the feature.

This was most likely missed due to the issue being with extremely large dimensions
being specified for the elements. It is unclear how big these must have been to 
trigger the vulnerability, so to originally test it would have probably needed to be 
through manual (or possibly fuzzer) investigation. Tests were added specifically
to check for this issue when the code was fixed in order to prevent the same issue
popping up again.

The fix here appears to be a proper fix, as the scrollbar is now properly clipped
to the same size as the rect mentioned above.
"
1128,CVE-2015-1296,chromium,"You could place special unicode characters in the URL so that a padlock character would be displayed at the beginning of the URL which could fool the user into thinking that they had a secure connection over HTTPS. Attackers could post links anywhere on the web that include these special characters so when people click on them and see the padlock icon they'd think that they're safe. The padlock icon verifies that the server is in fact who they claim to be. If you go on Facebook.com and see the padlock then it verifies that there isn't a third party impersonating Facebook. They could hide them with a hyperlink so that the characters don't appear in the link visible to the user, but when they click on it the web browser would copy it to the omnibox and display the padlock character. The omnibox is the address bar in chrome, they just call in the omnibox internally.","This issue happened at the Requirements phase. They should have considered
all of the complex unicode inputs that people could use to attempt to spoof
URLs. In order for this type of vulnerability to be caught they would have 
needed to have someone who is very familiar with unicode to be on the team.
This person would have to know about the padlock character and know that 
there are RTL characters that can be used to move characters to appear at
the beginning of the string. Throughout all of development no one must have
thought of an attack like this. It's a really complex input so it's 
understandable that they never considered it originally though. They couldn't
remove all unicode characters though because people who speak languages whose
alphabet doesn't fit in ASCII need to be able to search for things with the
omnibox.
"
1334,CVE-2016-5157,chromium,"A Heap Buffer Overflow (out-of-bounds write) vulnerability was found in OpenJPEG, which is used in PDFium in Google Chrome. This would allow a remote attacker to arbitrarily execute code on a user's machine. After inspecting the code, it seemed that the vulnerability was due to casting arguments for method to a 32 byte integer, which could possibly cause the integer to exceed the boundaries. OpenJPEG is an open source library used to display JPEG images; this was a dependency in PDFium, which is an open source library which Google maintains. This is used to display PDF files through Google Chrome.
This bug in OpenJPEG was brought forth through a developer of the open source library attempting to close another Heap Buffer Overflow bug. I think that this vulnerability could have been stopped in its tracks if there had been unit tests for this section of code, as there are no unit tests in OpenJPEG.","The coding mistake that lead to this vulnerability was that the developer who
implemented this section of code had thought of the possibility of overflow, and
the very next commit provided checks to ensure that overflow couldn't happen before
as these variables were being assigned, but they didn't think about the possibility
that after casting the variables could possibly cause overflow later.

The vulernability was introduced as the developer was attempting to fix another overflow bug
which also had to do with casting. It seems like an oversight of the developer to not think
they had to recheck the output of these variables."
1154,CVE-2015-6583,chromium,"Google Chrome's browser does not display a location bar for hosted apps that
navigate away from an installation site. For example, when you install an app
from Google Chrome's web store, launch the app open in a new window, and the
location bar would disappear. This may make it easier for remote attackers to
spoof content via a specially crafted app. Therefore, this will allow an
attacker to perform a phishing attack and steal user's credentials.
","This vulnerability appears to be introduced due to a coding and design
mistake. The coding and design mistake made here was the location bar should
have been properly handled when navigating away into a new window. Also,
there may have been a requirements issue here as well due to the way a
hosted app was initially defined as a bookmark app. The fix changed how
the browser handled the visibility of the location bar and how the hosted
app was treated in the system. The fix corrects the unexpected behavior of
the location bar disappearing and validates the hosted app can be trusted.
"
1231,CVE-2016-1645,chromium,"Attackers could write the metadata for an image, or the information that makes up the image, in such a way that when  it was read in certain programs or 
tools, it had the potential to create Denial of Service attacks which would crash applications or machines. Google used this library to interpret and render the images inside of PDF for viewing,
in addition to getting the metadata for things like image tags for describing the photos, and alt-text for screen-readers and accessibility settings.  
The crash was caused by incorrectly converting integers to other types or from negative-to-positive, and would result in ""integer signdness errors"". 
These errors could lead to out-of-bounds index writing, where the attacker could inject or execute code where they're not supposed to be able to, or number casting
errors, which could violate the integrity of the data. 
This vulnerability was a problem for its potential to affect the Availability of systems and the integrity of the data. 
The solution was to upgrade to r3002 of OpenJPEG, which based on intuition and reasoning, added checks for the data to ensure it did not run over. 
","There was a combination of design mistakes, coding mistakes, and either laziness or constraints.

First, the team did not account for buffer overflows when they originally coded the method. This could have been avoided with 
input sanitization, and checking the input to handle any potential out-of-bounds problems. 

On top of failing to handle the problem originally, they did not write any unit tests to attempt to catch the problem before it happened. 
It is possible that even with unit testing, they could not have caught this, but no tests were written period. Not at the VCC, and not at the fix.
There were 4-5 commits between the VCC and the fix, which would make it seem like writing test cases would be a good idea, as so many others had failed to fix 
it previously. 

If the team had set up the method in such a way that it validated inputs and properly handled or expected buffer overflows, then this problem might have been avoided
from the start. I am sure there were some difficulties though, as it appears that OpenJPEG is just a library that Chromium uses, so they were not necessarily testing
or intending its use for the things that Google eventually utilized it for
      
"
905,CVE-2013-6657,chromium,"The code that was used to check for possible XSS attacks replaced blocked form elements with a blank internal page. Remote attackers could take advantage of this to bypass Same Origin Policy and instead force sensitive data to be submitted to the blank page, checking character-by-character which requests got blocked to determine the data's value through brute force.","The mistake made was most likely a case of not being able to anticipate every possible
vulnerability. There were multiple commits stating that usage of the internal blank page
was safe (ie, not vulnerable to XSS) over a span of several years and by a few different people.
Perhaps more familiarity with the specific implementation of the page could have prevented this
but ultimately, developers can't learn everything about everything or nothing would get done. Code
reviews by different people may help.
"
