id,name,shortname,description,color,icon,short_desc
8,Bounty Awarded,bounty,"We define a bounty as a monetary award given by the development team to a researcher who discovered a vulnerability. Bounties garner a wide variety of monetary rewards, depending on a variety of factors. The severity of the vulnerablity at the time of its discovery is a main driver [1,3], however.

Bounties also create an interesting economy that competes with the black-hat economy of a vulnerability [2]. Knowledge of a vulnerability can be very profitable for attackers. So software companies will defray this cost by giving out bounties. Thus, bounty awards are inextricably linked to their black market value.

Below are some interesting publications on the topic of bug bounty programs and vulnerabilities.

* [1] Mingyi Zhao, Jens Grossklags, and Peng Liu. 2015. An Empirical Study of Web Vulnerability Discovery Ecosystems. In Proceedings of the 22nd ACM SIGSAC Conference on Computer and Communications Security (CCS '15). ACM, New York, NY, USA, 1105-1117. DOI: https://doi.org/10.1145/2810103.2813704
* [2] Serge Egelman, Cormac Herley, and Paul C. van Oorschot. 2013. Markets for zero-day exploits: ethics and implications. In Proceedings of the 2013 New Security Paradigms Workshop (NSPW '13). ACM, New York, NY, USA, 41-46. DOI: https://doi.org/10.1145/2535813.2535818
* [3] Nuthan Munaiah and Andrew Meneely. 2016. Vulnerability severity scoring and bounties: why the disconnect?. In Proceedings of the 2nd International Workshop on Software Analytics (SWAN 2016). ACM, New York, NY, USA, 8-14. DOI: https://doi.org/10.1145/2989238.2989239
",#25C322,money,"We define a bounty as a monetary award given by the development team to a researcher who discovered a vulnerability. Bounties garner a wide variety of monetary rewards, depending on a variety of factors. The severity of the vulnerablity at..."
104,CWE-1021: Improper Restriction of Rendered UI Layers or Frames,cwe-1021,"""The web application does not restrict or incorrectly restricts frame objects or UI layers that belong to another application or domain, which can lead to user confusion about which interface the user is interacting with."" - For more infomration visit https://cwe.mitre.org/data/definitions/1021.html
",#99ccff,tag,"""The web application does not restrict or incorrectly restricts frame objects or UI layers that belong to another application or domain, which can lead to user confusion about which interface the user is interacting with."" - For more infom..."
497,CWE-103: Struts: Incomplete validate() Method Definition,cwe-103,"""The application has a validator form that either does not define a validate() method, or defines a validate() method but does not call super.validate()."" - For more infomration visit https://cwe.mitre.org/data/definitions/103.html
",#99ccff,tag,"""The application has a validator form that either does not define a validate() method, or defines a validate() method but does not call super.validate()."" - For more infomration visit https://cwe.mitre.org/data/definitions/103.html
..."
59,CWE-114: Process Control,cwe-114,"""Executing commands or loading libraries from an untrusted source or in an untrusted environment can cause an application to execute malicious commands (and payloads) on behalf of an attacker."" - For more infomration visit https://cwe.mitre.org/data/definitions/114.html
",#99ccff,tag,"""Executing commands or loading libraries from an untrusted source or in an untrusted environment can cause an application to execute malicious commands (and payloads) on behalf of an attacker."" - For more infomration visit https://cwe.mitr..."
392,CWE-116: Improper Encoding or Escaping of Output,cwe-116,"""The software prepares a structured message for communication with another component, but encoding or escaping of the data is either missing or done incorrectly. As a result, the intended structure of the message is not preserved."" - For more infomration visit https://cwe.mitre.org/data/definitions/116.html
",#99ccff,tag,"""The software prepares a structured message for communication with another component, but encoding or escaping of the data is either missing or done incorrectly. As a result, the intended structure of the message is not preserved."" - For m..."
15,CWE-119: Improper Restriction of Operations within the Bounds of a Memory Buffer,cwe-119,"""The software performs operations on a memory buffer, but it can read from or write to a memory location that is outside of the intended boundary of the buffer."" - For more infomration visit https://cwe.mitre.org/data/definitions/119.html
",#99ccff,tag,"""The software performs operations on a memory buffer, but it can read from or write to a memory location that is outside of the intended boundary of the buffer."" - For more infomration visit https://cwe.mitre.org/data/definitions/119.html
..."
63,CWE-120: Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),cwe-120,"""The program copies an input buffer to an output buffer without verifying that the size of the input buffer is less than the size of the output buffer, leading to a buffer overflow."" - For more infomration visit https://cwe.mitre.org/data/definitions/120.html
",#99ccff,tag,"""The program copies an input buffer to an output buffer without verifying that the size of the input buffer is less than the size of the output buffer, leading to a buffer overflow."" - For more infomration visit https://cwe.mitre.org/data/..."
11,CWE-121: Stack-based Buffer Overflow,cwe-121,"""A stack-based buffer overflow condition is a condition where the buffer being overwritten is allocated on the stack (i.e., is a local variable or, rarely, a parameter to a function)."" - For more infomration visit https://cwe.mitre.org/data/definitions/121.html
",#99ccff,tag,"""A stack-based buffer overflow condition is a condition where the buffer being overwritten is allocated on the stack (i.e., is a local variable or, rarely, a parameter to a function)."" - For more infomration visit https://cwe.mitre.org/dat..."
49,CWE-122: Heap-based Buffer Overflow,cwe-122,"""A heap overflow condition is a buffer overflow, where the buffer that can be overwritten is allocated in the heap portion of memory, generally meaning that the buffer was allocated using a routine such as malloc()."" - For more infomration visit https://cwe.mitre.org/data/definitions/122.html
",#99ccff,tag,"""A heap overflow condition is a buffer overflow, where the buffer that can be overwritten is allocated in the heap portion of memory, generally meaning that the buffer was allocated using a routine such as malloc()."" - For more infomration..."
50,CWE-125: Out-of-bounds Read,cwe-125,"""The software reads data past the end, or before the beginning, of the intended buffer."" - For more infomration visit https://cwe.mitre.org/data/definitions/125.html
",#99ccff,tag,"""The software reads data past the end, or before the beginning, of the intended buffer."" - For more infomration visit https://cwe.mitre.org/data/definitions/125.html
..."
384,CWE-126: Buffer Over-read,cwe-126,"""The software reads from a buffer using buffer access mechanisms such as indexes or pointers that reference memory locations after the targeted buffer."" - For more infomration visit https://cwe.mitre.org/data/definitions/126.html
",#99ccff,tag,"""The software reads from a buffer using buffer access mechanisms such as indexes or pointers that reference memory locations after the targeted buffer."" - For more infomration visit https://cwe.mitre.org/data/definitions/126.html
..."
66,CWE-129: Improper Validation of Array Index,cwe-129,"""The product uses untrusted input when calculating or using an array index, but the product does not validate or incorrectly validates the index to ensure the index references a valid position within the array."" - For more infomration visit https://cwe.mitre.org/data/definitions/129.html
",#99ccff,tag,"""The product uses untrusted input when calculating or using an array index, but the product does not validate or incorrectly validates the index to ensure the index references a valid position within the array."" - For more infomration visi..."
102,CWE-130: Improper Handling of Length Parameter Inconsistency ,cwe-130,"""The software parses a formatted message or structure, but it does not handle or incorrectly handles a length field that is inconsistent with the actual length of the associated data."" - For more infomration visit https://cwe.mitre.org/data/definitions/130.html
",#99ccff,tag,"""The software parses a formatted message or structure, but it does not handle or incorrectly handles a length field that is inconsistent with the actual length of the associated data."" - For more infomration visit https://cwe.mitre.org/dat..."
85,CWE-146: Improper Neutralization of Expression/Command Delimiters,cwe-146,"""The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as expression or command delimiters when they are sent to a downstream component."" - For more infomration visit https://cwe.mitre.org/data/definitions/146.html
",#99ccff,tag,"""The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as expression or command delimiters when they are sent to a downstream component."" - ..."
389,"CWE-150: Improper Neutralization of Escape, Meta, or Control Sequences",cwe-150,"""The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as escape, meta, or control character sequences when they are sent to a downstream component."" - For more infomration visit https://cwe.mitre.org/data/definitions/150.html
",#99ccff,tag,"""The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as escape, meta, or control character sequences when they are sent to a downstream co..."
447,CWE-153: Improper Neutralization of Substitution Characters,cwe-153,"""The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as substitution characters when they are sent to a downstream component."" - For more infomration visit https://cwe.mitre.org/data/definitions/153.html
",#99ccff,tag,"""The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as substitution characters when they are sent to a downstream component."" - For more ..."
385,CWE-156: Improper Neutralization of Whitespace,cwe-156,"""The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as whitespace when they are sent to a downstream component."" - For more infomration visit https://cwe.mitre.org/data/definitions/156.html
",#99ccff,tag,"""The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as whitespace when they are sent to a downstream component."" - For more infomration v..."
76,CWE-159: Failure to Sanitize Special Element,cwe-159,"""Weaknesses in this attack-focused category do not properly filter and interpret special elements in user-controlled input which could cause adverse effect on the software behavior and integrity."" - For more infomration visit https://cwe.mitre.org/data/definitions/159.html
",#99ccff,tag,"""Weaknesses in this attack-focused category do not properly filter and interpret special elements in user-controlled input which could cause adverse effect on the software behavior and integrity."" - For more infomration visit https://cwe.m..."
391,CWE-16: Configuration,cwe-16,"""Weaknesses in this category are typically introduced during the configuration of the software."" - For more infomration visit https://cwe.mitre.org/data/definitions/16.html
",#99ccff,tag,"""Weaknesses in this category are typically introduced during the configuration of the software."" - For more infomration visit https://cwe.mitre.org/data/definitions/16.html
..."
498,CWE-183: Permissive Whitelist,cwe-183,"""An application uses a whitelist of acceptable values, but the whitelist includes at least one unsafe value, leading to resultant weaknesses."" - For more infomration visit https://cwe.mitre.org/data/definitions/183.html
",#99ccff,tag,"""An application uses a whitelist of acceptable values, but the whitelist includes at least one unsafe value, leading to resultant weaknesses."" - For more infomration visit https://cwe.mitre.org/data/definitions/183.html
..."
43,CWE-184: Incomplete Blacklist,cwe-184,"""An application uses a blacklist of prohibited values, but the blacklist is incomplete."" - For more infomration visit https://cwe.mitre.org/data/definitions/184.html
",#99ccff,tag,"""An application uses a blacklist of prohibited values, but the blacklist is incomplete."" - For more infomration visit https://cwe.mitre.org/data/definitions/184.html
..."
45,CWE-189: Numeric Errors,cwe-189,"""Weaknesses in this category are related to improper calculation or conversion of numbers."" - For more infomration visit https://cwe.mitre.org/data/definitions/189.html
",#99ccff,tag,"""Weaknesses in this category are related to improper calculation or conversion of numbers."" - For more infomration visit https://cwe.mitre.org/data/definitions/189.html
..."
65,CWE-190: Integer Overflow or Wraparound,cwe-190,"""The software performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control."" - For more infomration visit https://cwe.mitre.org/data/definitions/190.html
",#99ccff,tag,"""The software performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculatio..."
394,CWE-193: Off-by-one Error,cwe-193,"""A product calculates or uses an incorrect maximum or minimum value that is 1 more, or 1 less, than the correct value."" - For more infomration visit https://cwe.mitre.org/data/definitions/193.html
",#99ccff,tag,"""A product calculates or uses an incorrect maximum or minimum value that is 1 more, or 1 less, than the correct value."" - For more infomration visit https://cwe.mitre.org/data/definitions/193.html
..."
