id,cve,announced,upvotes,nickname,project_name,subdomain,tag_json/0/id,tag_json/0/importance,tag_json/1/id,tag_json/1/importance,tag_json/2/id,tag_json/2/importance,tag_json/3/id,tag_json/3/importance,tag_json/4/id,tag_json/4/importance,tag_json/5/id,tag_json/5/importance,tag_json/6/id,tag_json/6/importance,tag_json/7/id,tag_json/7/importance,tag_json/8/id,tag_json/8/importance,tag_json/9/id,tag_json/9/importance,tag_json/10/id,tag_json/10/importance,tag_json/11/id,tag_json/11/importance,tag_json/12/id,tag_json/12/importance,tag_json/13/id,tag_json/13/importance,short_desc,tag_json/14/id,tag_json/14/importance,tag_json/15/id,tag_json/15/importance,tag_json/16/id,tag_json/16/importance,tag_json/17/id,tag_json/17/importance,tag_json/18/id,tag_json/18/importance,tag_json/19/id,tag_json/19/importance,tag_json/20/id,tag_json/20/importance
137,CVE-2010-3248,2010-09-07T18:00:02.557Z,16,Clippy's Revenge,Chromium,chromium,140,0.5,373,0.35,126,0.27,125,0.27,375,0.25,9,0.15,380,0,130,0,379,0,381,0,382,0,378,0,154,0,1,-Infinity,"A bug was found in chrome which did not retrict javascript from copying to the
clipboard from any context ( anywhere you can run JavaScript)",,,,,,,,,,,,,,
1222,CVE-2016-1636,2016-03-06T02:59:07.400Z,15,,Chromium,chromium,3,1.88006264349054,46,1,8,0.75,143,0.5,372,0.35,374,0.35,125,0.27,127,0.27,375,0.25,380,0,378,0,335,0,381,0,130,0,"The code that handled subresource integrity checks was flawed in that if a resource was requested from the same origin a second time, a second check wouldn't be run",,,,,,,,,,,,,,
398,CVE-2011-2850,2011-09-19T12:02:56.060Z,15,,Chromium,chromium,5,2.06880341933374,50,1,145,0.5,374,0.35,373,0.35,126,0.27,124,0.27,375,0.25,130,0,217,0,378,0,,,,,,,Khmer characters were causing an out of bound error when being read,,,,,,,,,,,,,,
388,CVE-2011-2840,2011-09-19T12:02:55.777Z,14,,Chromium,chromium,3,1.91599799036886,31,1,146,0.45,372,0.35,374,0.35,125,0.27,127,0.27,375,0.25,130,0,214,0,378,0,380,0,,,,,"This bug allowed remote attackers to spoof the URL bar via ""unusual user
interaction."" In other words, URL bar may be stolen if user clicking on
chrome interface",,,,,,,,,,,,,,
79,CVE-2010-1505,2010-04-20T00:00:00.000Z,14,Off to the Races,Chromium,chromium,5,2.06653617123889,25,1,10,0.72,10,0.72,135,0.5,136,0.5,147,0.45,147,0.45,373,0.35,374,0.35,126,0.27,125,0.27,375,0.25,130,0,"When opening a new tab, one could take advantage of a race condition and
start loading a page in that tab before the new tab process (NTP) completed",163,0,380,0,382,0,381,0,378,0,,,,
898,CVE-2013-6649,2014-01-28T14:30:33.777Z,13,,Chromium,chromium,4,1.97702149688476,34,1,139,0.5,135,0.5,147,0.45,372,0.35,374,0.35,126,0.27,124,0.27,375,0.25,8,0.25,222,0,380,0,130,0,"A use-after-free vulnerability in an SVG rendering function in the
Blink engine in Chromium was found through unit testing.

This vulnerability allows for remote attackers to possibly cause a denial of
service (e.g., crashing the program) or other exploits by using vectors of an
SVG image that is zero bytes in size",378,0,,,,,,,,,,,,
925,CVE-2014-1713,2014-03-16T14:06:45.617Z,13,,Chromium,chromium,34,1,8,0.95,374,0.35,372,0.35,126,0.27,125,0.27,375,0.25,269,0,378,0,,,,,,,,,,,Memory addresses were continuing to be accessed after being freed,,,,,,,,,,,,,,
63,CVE-2010-0664,2010-02-18T18:00:01.130Z,13,,Chromium,chromium,4,1.95662186701235,22,1,139,0.5,147,0.45,372,0.35,374,0.35,127,0.27,125,0.27,375,0.25,130,0,159,0,380,0,378,0,,,Certain URLS will cause the browser to crash due to stack exhaustion,,,,,,,,,,,,,,
1107,CVE-2015-1274,2015-07-23T00:59:04.180Z,12,Get-n-Run,Chromium,chromium,88,1,143,0.5,146,0.45,373,0.35,374,0.35,127,0.27,125,0.27,8,0.25,382,0,381,0,378,0,379,0,130,0,313,0,"This vulnerability took advantage of Chrome's feature to automatically open
certain filetypes upon download",380,0,,,,,,,,,,,,
132,CVE-2010-3118,2010-05-17T00:00:00.000Z,12,Autosuggest over SSL,Chromium,chromium,6,2.0905527775867,18,1,145,0.5,372,0.35,374,0.35,127,0.27,125,0.27,375,0.25,377,0.25,378,0,168,0,130,0,381,0,380,0,"Chrome is a web browser, and supports some autocomplete functionality when a
user is entering a URL into the search-box",,,,,,,,,,,,,,
