"id","cve","project_name","description","mistakes","tag_list__id","tag_list__tag"
"1037","CVE-2014-7948","chromium","Google Chrome caches pages despite having an SSL certificate error which allows man in the middle (MITM)\nattacks to spoof HTML pages via a certificate that the attacker can create. The MITM can intercept web pages\nand replace the site's page with a malicious one on a malicious server or site.\n\nThe fix for this vulnerability is to refuse to Application Cache responses with any SSL certificate errors. Basically to not\nignore SSL certificate errors unless they are flagged to do so.\n","I think that the vulenrability is interesting because it is difficult to find/test for. What made this vulnerability\nwas a design issue where the developers failed reject caching a page after ignoring SSL certificate errors. This also\nmay be a requirements issue where the devs know not to execute something after a non-trustworthy certificate but\nmay have overlooked it thus a non-google employee discovered it. We are human after all. The main thing for practitioners\nto learn from this vulnerability is to have your code/product properly handle errors and to never ignore any given errors\nthat can lead to a possible execution that you did not intend.\n\nAs for the mitigations, the team does properly check for SSL certificate errors\nand validates whether it is valid or not or has a tag that allows the certificate errors to be ignored.\n","8","bounty"
"","","","","","95","manual"
"","","","","","97","external"
"","","","","","100","language-cpp"
"","","","","","113","secure-by-default"
"","","","","","116","big-fix"
"","","","","","117","small-fix"
"","","","","","117","small-fix"
"","","","","","267","subsystem-chromium-appcache-serviceworker"
"","","","","","343","lacked-test"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","358","owners"
"","","","","","359","cooks"
"","","","","","360","refactors"
"","","","","","361","reverts"
"1158","CVE-2015-6757","chromium","Trying to access data in ServiceWorker after it has been freed, creating a Denial of Service Vulnerability. In C, data is freed once it's use is complete to save memory and allow the unused data to be picked up by the garbage collector. Once a data struct or pointer has been freed, you are no longer able to acces that block of data, creating a seg fault and crashing the system in many cases. Also, by freeing the data before its use is complete, the system is denied the service of, or unable to access, the ServiceWorker.  The ServiceWorker was freed too early its callback function thus creating this use-after-free vulnerability.","The mistake made here was a basic C coding mistake, which was freeing up data and then trying to access that freed data that no longer exists.\nAs far as the mitigation for using data aftering freeing goes, The fix looks proper, as data is now freed after it is done being used.","5","lifetime-1y2y"
"","","","","","8","bounty"
"","","","","","26","cwe-416"
"","","","","","94","discover-automated"
"","","","","","97","external"
"","","","","","100","language-cpp"
"","","","","","116","big-fix"
"","","","","","263","subsystem-chromium-serviceworker"
"","","","","","342","escaped"
"","","","","","344","untested"
"","","","","","345","vcc"
"","","","","","357","project-chromium"
"","","","","","359","cooks"
"1489","CVE-2017-5125","chromium","Embargoed. Heap overflow in Skia.\n","null","14","cwe-119"
"","","","","","357","project-chromium"
"184","CVE-2010-4488","chromium","This bug involves an unhandled case in which the user is behind a proxy and the\npage they are requesting returns a 407 error (proxy authentication required).\nChrome did not handle this situation, causing the app to crash. Exploitation of\nthis could ultimately cause a denial of service on the chrome app.\n","This could be a coding or design error, there was obviously no\nsystem designed for handling this case. However, when coding this, the developer\ndid not see the possibility of failure and all it took to fix this was an if condition\nto test whether the connection behind a proxy succeeded. The fix does adhere to the\nCWE mitigations and the fix does appears to be correct. However, in more recent\nversions of the file, the original fix is not present. Handling this scenario\nis still present, just in a differnt form, this makes it seem that the original fix\nwas not as rock-solid as it should have been.\n","3","lifetime-90d180d"
"","","","","","18","cwe-287"
"","","","","","95","manual"
"","","","","","97","external"
"","","","","","100","language-cpp"
"","","","","","113","secure-by-default"
